valore,anno,mese
7.527907,1964,3
10.679535,1964,4
15.171163,1964,5
19.398605,1964,6
21.030697,1964,7
20.301395,1964,8
17.546513,1964,9
13.020465,1964,10
9.615814,1964,11
5.536744,1964,12
4.7772093,1965,1
2.352093,1965,2
7.022326,1965,3
9.244186,1965,4
13.578604,1965,5
17.952559,1965,6
20.64372,1965,7
19.725582,1965,8
16.668371,1965,9
13.454419,1965,10
9.685117,1965,11
6.3934884,1965,12
3.2795348,1966,1
7.844651,1966,2
6.8186045,1966,3
11.382326,1966,4
14.495814,1966,5
18.949768,1966,6
19.688374,1966,7
20.00279,1966,8
18.057674,1966,9
15.316279,1966,10
7.4897676,1966,11
5.0427904,1966,12
3.5144188,1967,1
5.1697674,1967,2
8.130232,1967,3
9.796744,1967,4
14.526047,1967,5
16.938139,1967,6
21.571629,1967,7
21.226048,1967,8
17.613955,1967,9
14.762326,1967,10
10.268837,1967,11
5.028837,1967,12
2.952093,1968,1
6.31907,1968,2
7.4055815,1968,3
11.540464,1968,4
14.832092,1968,5
17.684185,1968,6
20.551163,1968,7
19.190233,1968,8
17.186977,1968,9
13.772558,1968,10
9.504651,1968,11
5.1530232,1968,12
4.2967443,1969,1
4.467442,1969,2
7.274884,1969,3
9.875349,1969,4
15.624651,1969,5
16.747906,1969,6
20.048838,1969,7
20.193024,1969,8
17.94186,1969,9
14.013023,1969,10
10.221861,1969,11
3.6706977,1969,12
5.754884,1970,1
5.2865114,1970,2
6.341861,1970,3
9.66,1970,4
12.842325,1970,5
18.82558,1970,6
20.186047,1970,7
20.856745,1970,8
18.474419,1970,9
12.726976,1970,10
9.837675,1970,11
5.4274416,1970,12
5.1497674,1971,1
5.0786047,1971,2
5.006047,1971,3
11.3209305,1971,4
15.050697,1971,5
17.186977,1971,6
21.050697,1971,7
22.633022,1971,8
16.807442,1971,9
12.698139,1971,10
8.511628,1971,11
5.3776746,1971,12
5.2786045,1972,1
7.072558,1972,2
8.8506975,1972,3
10.36,1972,4
13.5920925,1972,5
17.97535,1972,6
20.154419,1972,7
19.699535,1972,8
15.636279,1972,9
11.689302,1972,10
9.221861,1972,11
6.0386047,1972,12
5.0911627,1973,1
4.6846514,1973,2
6.075349,1973,3
8.509768,1973,4
14.865117,1973,5
18.666046,1973,6
20.98,1973,7
21.243721,1973,8
18.915813,1973,9
13.602791,1973,10
8.288837,1973,11
5.275814,1973,12
6.1804647,1974,1
6.753488,1974,2
8.13814,1974,3
9.695349,1974,4
13.832092,1974,5
17.52186,1974,6
20.393024,1974,7
21.468838,1974,8
17.869768,1974,9
10.465582,1974,10
8.264651,1974,11
5.5097675,1974,12
5.1972094,1975,1
5.0530233,1975,2
7.2595353,1975,3
10.195349,1975,4
14.418605,1975,5
17.17628,1975,6
20.703722,1975,7
20.468838,1975,8
19.205116,1975,9
12.914884,1975,10
8.320465,1975,11
5.812558,1975,12
4.33907,1976,1
5.9288373,1976,2
6.2948837,1976,3
9.762325,1976,4
14.6493025,1976,5
18.627907,1976,6
20.814884,1976,7
18.71814,1976,8
16.07721,1976,9
13.773488,1976,10
8.753489,1976,11
5.8483725,1976,12
5.724186,1977,1
7.321395,1977,2
8.974884,1977,3
9.812558,1977,4
14.346512,1977,5
17.610233,1977,6
20.717674,1977,7
19.76,1977,8
16.501394,1977,9
14.075813,1977,10
9.235349,1977,11
5.388372,1977,12
4.729768,1978,1
5.2706976,1978,2
7.7400002,1978,3
9.326047,1978,4
13.206976,1978,5
17.804186,1978,6
19.774883,1978,7
20.088837,1978,8
17.173954,1978,9
12.846046,1978,10
7.128372,1978,11
6.7097673,1978,12
3.6060467,1979,1
6.2339535,1979,2
8.249767,1979,3
9.283721,1979,4
14.675814,1979,5
19.344187,1979,6
20.708372,1979,7
20.332558,1979,8
17.514883,1979,9
14.209302,1979,10
8.323721,1979,11
6.664186,1979,12
4.1139536,1980,1
5.8502326,1980,2
7.4181395,1980,3
8.646047,1980,4
12.582326,1980,5
16.965117,1980,6
19.275349,1980,7
21.438604,1980,8
18.476744,1980,9
13.32279,1980,10
8.814883,1980,11
3.9269767,1980,12
2.539535,1981,1
3.8060467,1981,2
8.643255,1981,3
11.222791,1981,4
14.156744,1981,5
18.884186,1981,6
19.8,1981,7
20.768837,1981,8
18.314419,1981,9
14.214884,1981,10
7.2725577,1981,11
6.10093,1981,12
5.5069766,1982,1
4.355349,1982,2
6.572558,1982,3
10.152558,1982,4
14.833954,1982,5
19.832558,1982,6
22.31628,1982,7
21.269768,1982,8
19.720465,1982,9
14.294418,1982,10
9.934884,1982,11
6.5493026,1982,12
4.8744187,1983,1
3.5367444,1983,2
7.5953493,1983,3
10.910698,1983,4
14.570233,1983,5
18.284185,1983,6
23.156744,1983,7
21.197674,1983,8
18.50465,1983,9
13.613489,1983,10
8.848837,1983,11
5.5074415,1983,12
4.8548837,1984,1
4.240465,1984,2
6.4130235,1984,3
9.602325,1984,4
13.028837,1984,5
17.52,1984,6
20.85721,1984,7
20.109303,1984,8
16.952559,1984,9
14.019534,1984,10
10.362791,1984,11
6.247442,1984,12
2.1548839,1985,1
4.735814,1985,2
6.9004655,1985,3
10.712093,1985,4
14.727442,1985,5
18.111628,1985,6
22.104185,1985,7
21.25907,1985,8
19.055813,1985,9
14.305117,1985,10
8.813024,1985,11
6.968837,1985,12
4.8246512,1986,1
3.791163,1986,2
7.45814,1986,3
10.297674,1986,4
16.549303,1986,5
18.09907,1986,6
20.695814,1986,7
22.109303,1986,8
18.37907,1986,9
14.864652,1986,10
9.583721,1986,11
4.843721,1986,12
3.8130233,1987,1
5.552558,1987,2
4.694884,1987,3
10.671628,1987,4
12.89814,1987,5
17.678604,1987,6
22.221859,1987,7
21.609768,1987,8
20.50186,1987,9
15.360001,1987,10
9.802325,1987,11
6.8809304,1987,12
6.990233,1988,1
5.9534883,1988,2
7.279535,1988,3
10.939535,1988,4
15.559535,1988,5
18.066977,1988,6
22.560465,1988,7
22.22,1988,8
17.90372,1988,9
15.413023,1988,10
7.393954,1988,11
5.2720933,1988,12
4.0851164,1989,1
6.258605,1989,2
9.48279,1989,3
10.881861,1989,4
14.667442,1989,5
17.695814,1989,6
21.374884,1989,7
21.490698,1989,8
17.743256,1989,9
12.607907,1989,10
8.571162,1989,11
6.612558,1989,12
4.756744,1990,1
7.865116,1990,2
9.047907,1990,3
10.320465,1990,4
15.630697,1990,5
18.647442,1990,6
21.042324,1990,7
21.503721,1990,8
18.18,1990,9
15.584651,1990,10
9.463256,1990,11
4.1976748,1990,12
4.8367443,1991,1
3.9660466,1991,2
9.740465,1991,3
9.397675,1991,4
12.075814,1991,5
17.985582,1991,6
21.807442,1991,7
22.253023,1991,8
19.634418,1991,9
13.368837,1991,10
8.880465,1991,11
3.5962791,1991,12
4.7046514,1992,1
5.18093,1992,2
7.795349,1992,3
10.673023,1992,4
15.763255,1992,5
17.914417,1992,6
20.88186,1992,7
23.144186,1992,8
18.516743,1992,9
13.953023,1992,10
10.451162,1992,11
6.41907,1992,12
4.8427906,1993,1
4.2655816,1993,2
6.367907,1993,3
10.768837,1993,4
15.881861,1993,5
19.552094,1993,6
20.412558,1993,7
22.419071,1993,8
18.03628,1993,9
13.962326,1993,10
8.45907,1993,11
6.7530236,1993,12
5.951163,1994,1
5.5376744,1994,2
9.529768,1994,3
10.174418,1994,4
15.413488,1994,5
18.758604,1994,6
23.170696,1994,7
23.570232,1994,8
19.036745,1994,9
14.104185,1994,10
10.795349,1994,11
6.811628,1994,12
4.303721,1995,1
7.153488,1995,2
6.6469765,1995,3
10.03628,1995,4
14.377675,1995,5
17.617674,1995,6
22.774418,1995,7
21.06372,1995,8
16.654884,1995,9
14.610232,1995,10
8.579535,1995,11
6.849767,1995,12
6.2502327,1996,1
4.352093,1996,2
6.44186,1996,3
10.829302,1996,4
14.886976,1996,5
19.118605,1996,6
20.595348,1996,7
20.995815,1996,8
15.740931,1996,9
13.067442,1996,10
10.26093,1996,11
6.1451163,1996,12
6.061395,1997,1
6.3781395,1997,2
8.706977,1997,3
9.118605,1997,4
15.456279,1997,5
19.272093,1997,6
20.764652,1997,7
21.512093,1997,8
18.99721,1997,9
13.999535,1997,10
9.880465,1997,11
6.519535,1997,12
5.6813955,1998,1
6.9897676,1998,2
7.161395,1998,3
11.025116,1998,4
15.291628,1998,5
19.841862,1998,6
22.313488,1998,7
22.345116,1998,8
17.924187,1998,9
13.853488,1998,10
7.8888373,1998,11
4.404186,1998,12
4.843256,1999,1
3.9102325,1999,2
7.906977,1999,3
10.911162,1999,4
16.214418,1999,5
19.384186,1999,6
21.846046,1999,7
22.73907,1999,8
19.718605,1999,9
14.98186,1999,10
9.042791,1999,11
5.815814,1999,12
3.455814,2000,1
5.706977,2000,2
8.001861,2000,3
11.811628,2000,4
16.913023,2000,5
20.137209,2000,6
20.79349,2000,7
22.473953,2000,8
18.569767,2000,9
14.562792,2000,10
10.672093,2000,11
7.452558,2000,12
6.4934883,2001,1
6.279535,2001,2
10.18093,2001,3
10.152558,2001,4
16.335814,2001,5
18.852558,2001,6
22.023256,2001,7
23.008839,2001,8
16.808838,2001,9
16.346512,2001,10
9.210233,2001,11
3.7223256,2001,12
3.8548837,2002,1
7.2051163,2002,2
9.456279,2002,3
11.212093,2002,4
15.474419,2002,5
20.476278,2002,6
21.67442,2002,7
21.031628,2002,8
17.28372,2002,9
13.996279,2002,10
11.407442,2002,11
7.051628,2002,12
5.187442,2003,1
2.9906976,2003,2
7.718604,2003,3
10.587907,2003,4
17.098606,2003,5
21.090698,2003,6
23.599535,2003,7
24.246511,2003,8
18.328838,2003,9
13.546046,2003,10
10.862326,2003,11
6.4148836,2003,12
4.3748837,2004,1
5.8823256,2004,2
7.425116,2004,3
10.867907,2004,4
13.653488,2004,5
18.989302,2004,6
21.697208,2004,7
21.975813,2004,8
18.607906,2004,9
15.814418,2004,10
9.510233,2004,11
7.161395,2004,12
3.8460464,2005,1
3.0381396,2005,2
7.1260467,2005,3
10.532093,2005,4
16.09628,2005,5
20.087908,2005,6
22.350697,2005,7
20.878605,2005,8
18.646046,2005,9
14.432093,2005,10
9.253489,2005,11
4.609302,2005,12
3.6279068,2006,1
5.013953,2006,2
7.1023254,2006,3
11.455349,2006,4
15.762326,2006,5
19.49442,2006,6
23.546047,2006,7
20.532558,2006,8
19.214884,2006,9
15.580465,2006,10
10.152093,2006,11
7.2372093,2006,12
6.9530234,2007,1
7.5172095,2007,2
8.6344185,2007,3
12.973024,2007,4
16.303722,2007,5
20.223255,2007,6
22.210232,2007,7
