valore,anno,mese
57.084187,1952,4
58.61907,1952,5
30.56279,1952,6
46.40279,1952,7
62.649303,1952,8
83.13255,1952,9
88.79721,1952,10
100.39488,1952,11
111.68186,1952,12
77.08559,1953,1
49.165115,1953,2
15.849768,1953,3
72.38976,1953,4
65.09814,1953,5
94.25117,1953,6
50.938606,1953,7
64.16837,1953,8
64.36279,1953,9
165.37582,1953,10
51.039536,1953,11
69.39628,1953,12
89.67302,1954,1
90.84186,1954,2
88.980934,1954,3
78.025116,1954,4
96.06791,1954,5
68.615814,1954,6
45.288372,1954,7
66.044655,1954,8
42.27163,1954,9
64.88512,1954,10
97.24465,1954,11
88.93814,1954,12
87.61861,1955,1
90.66698,1955,2
66.46512,1955,3
30.426977,1955,4
40.842323,1955,5
56.47163,1955,6
67.578606,1955,7
51.3,1955,8
106.383255,1955,9
96.07814,1955,10
81.323715,1955,11
67.54047,1955,12
67.993484,1956,1
68.57535,1956,2
89.87675,1956,3
109.20884,1956,4
51.999073,1956,5
72.85163,1956,6
47.66279,1956,7
38.58372,1956,8
61.5107,1956,9
74.33628,1956,10
129.7842,1956,11
53.95628,1956,12
87.28326,1957,1
58.77163,1957,2
31.92651,1957,3
84.60512,1957,4
87.83349,1957,5
68.759995,1957,6
59.582787,1957,7
54.390236,1957,8
34.685116,1957,9
107.34047,1957,10
138.81256,1957,11
108.84326,1957,12
57.22,1958,1
50.655815,1958,2
68.29907,1958,3
99.84139,1958,4
36.720467,1958,5
74.28511,1958,6
38.484184,1958,7
41.130234,1958,8
43.753487,1958,9
93.53674,1958,10
169.28465,1958,11
130.14838,1958,12
47.254883,1959,1
26.575815,1959,2
83.30744,1959,3
90.4586,1959,4
91.07488,1959,5
77.37256,1959,6
44.605583,1959,7
64.387436,1959,8
77.11628,1959,9
97.98976,1959,10
141.19162,1959,11
159.33023,1959,12
84.79395,1960,1
86.00558,1960,2
112.19209,1960,3
66.116745,1960,4
48.964653,1960,5
64.092094,1960,6
62.377674,1960,7
56.827442,1960,8
110.04977,1960,9
140.00046,1960,10
108.32186,1960,11
145.84885,1960,12
99.92,1961,1
32.560463,1961,2
25.013489,1961,3
84.931625,1961,4
57.662792,1961,5
57.719536,1961,6
56.973957,1961,7
24.501394,1961,8
23.464186,1961,9
122.632095,1961,10
142.01488,1961,11
68.96093,1961,12
61.003254,1962,1
55.14512,1962,2
90.09116,1962,3
72.94139,1962,4
72.866974,1962,5
47.360466,1962,6
34.01116,1962,7
17.794418,1962,8
46.58372,1962,9
91.60465,1962,10
161.87674,1962,11
83.34139,1962,12
85.62139,1963,1
89.10093,1963,2
67.476746,1963,3
81.64326,1963,4
72.96791,1963,5
77.43395,1963,6
51.177208,1963,7
81.22047,1963,8
91.03349,1963,9
86.35535,1963,10
107.93628,1963,11
90.63674,1963,12
33.53256,1964,1
57.245117,1964,2
107.72325,1964,3
67.39907,1964,4
51.455345,1964,5
58.656746,1964,6
41.907906,1964,7
60.90465,1964,8
42.43163,1964,9
163.9028,1964,10
80.49767,1964,11
139.04233,1964,12
90.25535,1965,1
41.614883,1965,2
74.87675,1965,3
68.54837,1965,4
59.97442,1965,5
56.499073,1965,6
46.98186,1965,7
74.03628,1965,8
119.943726,1965,9
47.3,1965,10
103.601395,1965,11
72.37256,1965,12
77.57488,1966,1
75.38884,1966,2
49.133953,1966,3
81.60093,1966,4
69.531166,1966,5
48.718605,1966,6
71.19116,1966,7
81.823715,1966,8
64.955345,1966,9
149.00511,1966,10
152.19534,1966,11
90.75535,1966,12
45.322792,1967,1
60.27907,1967,2
43.47814,1967,3
69.936745,1967,4
51.45907,1967,5
56.992096,1967,6
41.195812,1967,7
58.53535,1967,8
71.93907,1967,9
36.26186,1967,10
105.66744,1967,11
97.23535,1967,12
66.20465,1968,1
95.72419,1968,2
31.231161,1968,3
46.533485,1968,4
74.921394,1968,5
72.95163,1968,6
46.83535,1968,7
89.18093,1968,8
62.544655,1968,9
40.060463,1968,10
136.97629,1968,11
121.96,1968,12
75.68233,1969,1
91.750694,1969,2
90.80651,1969,3
58.982788,1969,4
59.30651,1969,5
67.15721,1969,6
42.456745,1969,7
70.55861,1969,8
96.15302,1969,9
39.23628,1969,10
92.31628,1969,11
110.305115,1969,12
103.26233,1970,1
53.38791,1970,2
79.68651,1970,3
49.15442,1970,4
57.311165,1970,5
48.34,1970,6
35.14651,1970,7
66.17581,1970,8
41.92093,1970,9
70.54698,1970,10
74.91721,1970,11
111.9586,1970,12
96.57396,1971,1
67.10698,1971,2
90.02605,1971,3
59.78651,1971,4
74.39674,1971,5
65.12837,1971,6
39.048836,1971,7
41.93209,1971,8
63.85907,1971,9
51.74698,1971,10
125.30373,1971,11
55.27767,1971,12
113.742325,1972,1
123.542786,1972,2
70.94651,1972,3
102.15256,1972,4
64.64512,1972,5
59.74651,1972,6
63.050697,1972,7
56.11628,1972,8
102.015816,1972,9
88.916275,1972,10
48.034885,1972,11
104.76326,1972,12
106.84884,1973,1
70.093025,1973,2
56.435352,1973,3
63.7693,1973,4
29.641861,1973,5
71.704185,1973,6
64.87116,1973,7
55.27535,1973,8
110.53209,1973,9
86.8307,1973,10
43.3693,1973,11
98.64093,1973,12
61.073956,1974,1
105.75209,1974,2
72.56697,1974,3
106.17163,1974,4
55.252556,1974,5
53.873486,1974,6
27.987442,1974,7
56.85256,1974,8
81.28744,1974,9
105.44651,1974,10
89.04558,1974,11
37.593025,1974,12
48.971626,1975,1
60.799538,1975,2
103.36465,1975,3
52.603252,1975,4
99.18326,1975,5
65.73209,1975,6
39.20977,1975,7
76.14698,1975,8
54.650696,1975,9
91.24046,1975,10
141.26465,1975,11
89.65953,1975,12
44.089302,1976,1
89.271164,1976,2
56.21395,1976,3
69.4693,1976,4
52.748833,1976,5
38.88186,1976,6
77.272095,1976,7
86.781395,1976,8
97.67302,1976,9
174.11629,1976,10
163.34047,1976,11
105.11302,1976,12
112.55581,1977,1
68.475815,1977,2
67.80558,1977,3
63.940002,1977,4
83.79395,1977,5
52.81535,1977,6
69.8693,1977,7
101.15395,1977,8
60.094887,1977,9
69.06047,1977,10
68.71209,1977,11
75.69442,1977,12
129.11116,1978,1
93.46512,1978,2
70.34465,1978,3
116.304184,1978,4
95.28372,1978,5
48.528374,1978,6
38.739067,1978,7
50.55395,1978,8
53.766975,1978,9
109.00326,1978,10
47.189304,1978,11
90.80046,1978,12
90.77675,1979,1
98.51302,1979,2
100.95349,1979,3
88.36745,1979,4
23.180466,1979,5
65.29116,1979,6
43.176277,1979,7
76.537674,1979,8
77.21581,1979,9
149.72464,1979,10
126.0293,1979,11
96.68605,1979,12
97.814415,1980,1
31.03721,1980,2
102.17674,1980,3
48.85814,1980,4
85.00419,1980,5
71.54604,1980,6
37.723255,1980,7
47.527443,1980,8
29.053488,1980,9
133.82326,1980,10
124.69627,1980,11
77.58418,1980,12
61.44233,1981,1
50.64465,1981,2
66.84093,1981,3
53.922325,1981,4
74.8014,1981,5
54.302788,1981,6
80.95302,1981,7
40.71395,1981,8
120.33767,1981,9
85.81814,1981,10
31.83814,1981,11
124.13023,1981,12
50.15535,1982,1
54.766045,1982,2
79.37442,1982,3
38.80977,1982,4
52.299538,1982,5
44.744186,1982,6
45.746975,1982,7
73.96279,1982,8
79.310234,1982,9
141.52837,1982,10
141.66046,1982,11
105.17395,1982,12
25.428371,1983,1
64.09814,1983,2
87.436745,1983,3
61.440468,1983,4
73.37767,1983,5
56.016743,1983,6
21.451628,1983,7
70.358604,1983,8
53.32419,1983,9
67.31814,1983,10
62.655815,1983,11
126.716286,1983,12
61.558605,1984,1
94.39116,1984,2
74.05442,1984,3
77.702324,1984,4
111.60884,1984,5
50.55442,1984,6
19.628838,1984,7
82.65163,1984,8
94.51768,1984,9
94.600464,1984,10
108.85488,1984,11
106.5093,1984,12
114.04884,1985,1
36.08651,1985,2
117.29628,1985,3
47.13209,1985,4
74.65628,1985,5
46.377674,1985,6
28.298138,1985,7
